ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
413355141,Photo,Western Bluebird,Sialia mexicana,,Kei Nakamura,2022-02-04,2022,2,4,830,United States,US-CA-013,California,Contra Costa,home,37.9095603,-122.3044465,"",,Unspecified,"","",,,,,,,S102106932,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1512,2268
413353221,Photo,Western Bluebird,Sialia mexicana,,Kei Nakamura,2022-01-30,2022,1,30,1400,United States,US-CA-013,California,Contra Costa,home,37.9095603,-122.3044465,"",,Unspecified,"","",,,,,,,S102106733,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,2081,3122
413352841,Photo,Western Bluebird,Sialia mexicana,,Kei Nakamura,2022-01-30,2022,1,30,1400,United States,US-CA-013,California,Contra Costa,home,37.9095603,-122.3044465,"",,Unspecified,"","",,,,,,,S102106733,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1867,2801
413337761,Photo,Western Bluebird,Sialia mexicana,,Tina Tan,2022-02-01,2022,2,1,1132,United States,US-CA-037,California,Los Angeles,Sierra Vista Park,34.0656570,-118.1145960,"",,Unspecified,"","",,,,,,,S101877866,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,3888,5184
413328531,Photo,Western Bluebird,Sialia mexicana,,Carolyn Thiele,2022-02-05,2022,2,5,1017,United States,US-CA-073,California,San Diego,Harry Griffen Regional Park,32.7859369,-116.9878900,"",,Unspecified,"","",,,,,,,S102103420,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1884,1955
413315131,Photo,Western Bluebird,Sialia mexicana,,E C Winstead,2022-02-05,2022,2,5,1402,United States,US-CA-001,California,Alameda,Vargas Plateau Regional Park,37.5751951,-121.9316769,"",,Unspecified,"","",,,,,,,S102101515,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,2749,3670
413314881,Photo,Western Bluebird,Sialia mexicana,,E C Winstead,2022-02-05,2022,2,5,1402,United States,US-CA-001,California,Alameda,Vargas Plateau Regional Park,37.5751951,-121.9316769,"",,Unspecified,"","",,,,,,,S102101515,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,2974,3661
413314741,Photo,Western Bluebird,Sialia mexicana,,E C Winstead,2022-02-05,2022,2,5,1402,United States,US-CA-001,California,Alameda,Vargas Plateau Regional Park,37.5751951,-121.9316769,"",,Unspecified,"","",,,,,,,S102101515,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,2690,3768
413311351,Photo,Western Bluebird,Sialia mexicana,,Diane Rose,2022-02-05,2022,2,5,821,United States,US-CA-057,California,Nevada,Gold Country Ranch--Spenceville BF Block (Private),39.1388086,-121.2238299,Adult Female – 1,Foraging or Eating,Unspecified,"","",,,,,,,S102095144,"",,,,,Sialia mexicana,wesblu,Species,27195,,4.00,2,"",2008,3012
413305101,Photo,Western Bluebird,Sialia mexicana,,Nat Weber,2022-02-05,2022,2,5,1400,United States,US-CA-013,California,Contra Costa,Moraga Ridge Open Space,37.8567289,-122.1383142,"",,Unspecified,"","",,,,,,,S102101688,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,,
